name,address,suburb,state,postcode,type,places,rating,qa1,qa2,qa3,qa4,qa5,qa6,qa7,start_time,end_time,latitude,longitude
Canberra Grammar School Early Learning Centre,"Canberra Grammar School, 15 Alexander St",RED HILL,ACT,2603,PKP,94,X,X,X,X,X,M,X,X,07:30,18:00,-35.33256998,149.12452638
Canberra Grammar School Northside Pre-Kindergarten,"Canberra Grammar Northside Inf, 33 Blamey Cres",CAMPBELL,ACT,2612,LDC;OSHC_A;OSHC_B;PKP,44,X,X,X,X,X,X,X,X,07:30,18:00,-35.28542983,149.1470957
Chapman After School Care,"Chapman Primary School, 48 Perry Dr",CHAPMAN,ACT,2611,OSHC_A;OSHC_B;OSHC_V,140,M,M,M,M,X,M,M,M,07:30,09:00,-35.35597503,149.04244688
YWCA Charles Conder School Age Care,"Charles Conder Primary & Presc, 134 Tom Roberts Ave",CONDER,ACT,2906,OSHC_A;OSHC_B;OSHC_V;PKP,99,M,M,M,M,M,X,M,M,07:15,18:00,-35.46503429,149.09844117
Communities@Work Caroline Chisholm Out of School Hours Care,"Caroline Chisholm Junior Campu, 103 Hambidge Cres",CHISHOLM,ACT,2905,OSHC_A;OSHC_B,22,M,M,M,X,M,X,M,M,07:30,18:00,-35.41915711,149.12272009
Communities@Work Family Day Care,"245 Cowlishaw St, Tuggeranong Community Centre",GREENWAY,ACT,2900,FDC,,M,M,M,M,M,M,M,M,08:00,17:00,-35.41561114,149.06951824
Curtin OSHC,"Curtin Primary School, 70 Theodore St",CURTIN,ACT,2605,OSHC_A;OSHC_B;OSHC_V,182,M,M,M,M,M,X,X,X,07:00,18:00,-35.33143655,149.08035477
Duffy OSHC,"Duffy Primary School, 47 Burrinjuck Cres",DUFFY,ACT,2611,OSHC_A;OSHC_B;OSHC_V,99,M,M,M,M,M,M,X,X,07:15,18:00,-35.3344292,149.03239103
Emmaus Christian School Canberra,"Emmaus Christian School, 73 Davenport St",DICKSON,ACT,2602,LDC;PKP,55,X,X,X,M,X,X,X,M,08:30,18:00,-35.25348749,149.1438336
Communities@Work Fadden Out of School Hours Care,"Fadden Primary School, 5 Hanlon Cres",FADDEN,ACT,2904,OSHC_A;OSHC_B;OSHC_V,102,M,M,M,M,M,M,M,M,07:30,18:00,-35.40428979,149.11822704
Florey OSHC Program,"Florey Primary School, 57 Ratcliffe Cres",FLOREY,ACT,2615,OSHC_A;OSHC_B;OSHC_V,88,W,M,W,M,M,M,M,M,07:30,18:00,-35.2265266,149.05277343
Forrest Out Of School Hours Care,"Forrest Primary School, 9 Hobart Ave",FORREST,ACT,2603,OSHC_A;OSHC_B;OSHC_V,150,E,X,X,X,X,X,X,X,07:30,18:00,-35.31456978,149.12525428
Fraser Primary School After School Care Program,"Fraser Primary School, 177 Tillyard Dr",FRASER,ACT,2615,OSHC_A;OSHC_B;OSHC_V,150,X,M,X,M,X,X,X,M,07:00,18:00,-35.19220055,149.04331048
Garran OSHC,"Garran Primary School, 136 Gilmore Cres",GARRAN,ACT,2605,OSHC_A;OSHC_B;OSHC_V,139,M,M,M,M,M,M,M,M,07:15,18:00,-35.3446665,149.10294414
Communities@Work Gordon Out of School Hours Care,"Gordon Primary School, 11 Knoke Ave",GORDON,ACT,2906,OSHC_A;OSHC_B,77,M,M,M,M,M,M,M,M,07:30,18:00,-35.45539455,149.08660875
TeamKids - Good Shepherd,"Good Shepherd Primary School, 93 Burdekin Ave",AMAROO,ACT,2914,OSHC_A;OSHC_B;OSHC_V,150,X,X,M,M,M,X,X,X,06:45,18:30,-35.16617998,149.12431786
Communities@Work Amaroo Out of School Hours Care,"Amaroo School, 135 Katherine Ave",AMAROO,ACT,2914,OSHC_A;OSHC_B;OSHC_V,176,M,X,X,M,M,M,X,M,07:00,18:00,-35.16542553,149.12948189
Communities@Work Palmerston Out of School Hours Care,"Palmerston Pre School/Primary, 80 Kosciuszko Ave",PALMERSTON,ACT,2913,OSHC_A;OSHC_B;OSHC_V,163,X,M,M,M,X,X,X,X,07:30,18:00,-35.19766932,149.12075741
Communities@Work Ngunnawal Out of School Hours Care,"Ngunnawal Primary School, 11 Unaipon Ave",NGUNNAWAL,ACT,2913,OSHC_A;OSHC_B,132,M,M,X,M,M,M,X,X,07:30,18:00,-35.1686526,149.11200701
Kids Biz OSHC - Holy Family,"Holy Family Primary School, 215 Castleton Cres",GOWRIE,ACT,2904,OSHC_A;OSHC_B;OSHC_V,121,M,M,M,M,M,M,M,M,06:50,18:00,-35.41089214,149.11644827
Hughes OSHC,"Hughes Primary School, 10 Groom Street",HUGHES,ACT,2605,OSHC_A;OSHC_B,133,M,M,M,M,M,M,M,M,07:15,18:00,-35.3323686,149.09268155
Mawson Out of School Hours Care,"Mawson Primary School, 62 Ainsworth St",MAWSON,ACT,2607,OSHC_A;OSHC_B;OSHC_V,143,X,X,X,X,X,X,X,X,07:00,18:00,-35.35844626,149.09733117
Kids Biz Holidays and Sports,"Melrose High School, 35 Marr St",PEARCE,ACT,2607,OSHC_V,150,M,M,M,M,M,X,M,M,08:00,18:00,-35.36248964,149.08807172
Kids Fun Club,"Trinity Christian School, 34 McBryde Cres",WANNIASSA,ACT,2903,OSHC_A;OSHC_V,90,M,M,M,M,M,M,X,M,15:00,18:00,-35.40745813,149.08572269
